plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)	BioProject	BioSample	Sequence Read Archive
CP023489	534550	150	139	6	PRJNA287968	SAMN04011426	NA
CP016411	1214275	288	216	18	PRJNA292661	SAMN03988471	NA
CP024500	1061045	260	226	9	PRJNA351909	SAMEA3357325	NA
CP024501	837875	233	229	3	PRJNA351909	SAMEA3357325	NA
CP024497	837740	233	229	3	PRJNA351909	SAMEA3357328	NA
CP024516	987545	244	207	9	PRJNA351909	SAMEA3357381	NA
CP024517	837740	233	229	3	PRJNA351909	SAMEA3357381	NA
CP024507	1286470	322	245	21	PRJNA351909	SAMEA3357405	NA
CP024508	994460	241	206	9	PRJNA351909	SAMEA3357405	NA
CP024509	592655	170	151	6	PRJNA351909	SAMEA3357405	NA
CP024510	427765	119	99	14	PRJNA351909	SAMEA3357405	NA
CP024543	474845	145	138	2	PRJNA351909	SAMEA3357010	NA
CP024544	311400	98	95	3	PRJNA351909	SAMEA3357010	NA
CP024546	475070	145	138	2	PRJNA351909	SAMEA3357043	NA
CP024547	311400	98	95	3	PRJNA351909	SAMEA3357043	NA
CP024529	982015	280	253	6	PRJNA351909	SAMEA3357077	NA
CP024530	638730	180	167	5	PRJNA351909	SAMEA3357077	NA
CP024531	377380	115	97	10	PRJNA351909	SAMEA3357077	NA
CP024522	982015	280	253	6	PRJNA351909	SAMEA3357080	NA
CP024523	638730	180	167	5	PRJNA351909	SAMEA3357080	NA
CP024524	377380	115	97	10	PRJNA351909	SAMEA3357080	NA
CP023542	715900	183	148	14	PRJNA230969	SAMN02147037	NA
CP011395	234425	74	73	1	PRJNA41929	SAMN01041085	NA
CP020902	1415520	377	319	14	PRJNA378711	SAMN04158282	NA
CP020903	881380	240	210	9	PRJNA378711	SAMN04158282	NA
CP020904	518365	149	144	3	PRJNA378711	SAMN04158282	NA
CP020905	172410	52	41	8	PRJNA378711	SAMN04158282	NA
CP014050	398170	118	118	0	PRJNA231221	SAMN03996249	NA
CP014747	362750	83	42	20	PRJNA231221	SAMN03996283	NA
CP014068	342695	93	17	37	PRJNA231221	SAMN03996308	NA
CP015847	422940	108	92	6	PRJNA322195	SAMN04191551	NA
CP022728	148330	45	45	0	PRJNA322195	SAMN04191551	NA
CP016407	1239750	295	224	18	PRJNA292666	SAMN04285042	NA
CP011614	378550	111	108	3	PRJNA246471	SAMN03733750	NA
CP011615	489070	113	104	6	PRJNA246471	SAMN03733750	NA
CP011616	506520	135	115	4	PRJNA246471	SAMN03733750	NA
CP011617	443135	119	108	5	PRJNA246471	SAMN03733750	NA
CP011593	286795	87	87	0	PRJNA246471	SAMN03733663	NA
CP011594	463800	127	105	7	PRJNA246471	SAMN03733663	NA
CP011595	489070	113	104	6	PRJNA246471	SAMN03733663	NA
CP011596	437825	118	106	5	PRJNA246471	SAMN03733663	NA
CP011627	54420	15	8	7	PRJNA246471	SAMN03733738	NA
CP011628	61935	19	14	5	PRJNA246471	SAMN03733738	NA
CP011629	134745	40	40	0	PRJNA246471	SAMN03733738	NA
CP011630	198455	54	49	3	PRJNA246471	SAMN03733738	NA
CP011631	241140	57	32	22	PRJNA246471	SAMN03733738	NA
CP011632	357490	102	97	3	PRJNA246471	SAMN03733738	NA
CP011633	614770	169	127	19	PRJNA246471	SAMN03733738	NA
CP011634	939405	242	229	6	PRJNA246471	SAMN03733738	NA
CP011635	1389840	344	218	25	PRJNA246471	SAMN03733738	NA
CP011608	188340	53	49	3	PRJNA246471	SAMN03733741	NA
CP011609	293740	86	86	0	PRJNA246471	SAMN03733741	NA
CP011610	579805	143	119	11	PRJNA246471	SAMN03733741	NA
CP011611	998625	290	262	7	PRJNA246471	SAMN03733741	NA
CP013323	1040345	278	198	22	PRJNA246471	SAMN03733725	NA
CP013324	734115	196	194	2	PRJNA246471	SAMN03733725	NA
CP013325	205995	53	48	4	PRJNA246471	SAMN03733725	NA
CP013326	308610	88	88	0	PRJNA246471	SAMN03733725	NA
CP018348	37050	13	11	2	PRJNA246471	SAMN03733765	NA
CP018349	187515	59	59	0	PRJNA246471	SAMN03733765	NA
CP018350	273785	74	54	7	PRJNA246471	SAMN03733765	NA
CP018351	796255	236	202	8	PRJNA246471	SAMN03733765	NA
CP018353	57315	18	18	0	PRJNA246471	SAMN03733793	NA
CP018354	189450	57	51	4	PRJNA246471	SAMN03733793	NA
CP018355	903125	247	210	9	PRJNA246471	SAMN03733793	NA
CP018360	494320	118	78	8	PRJNA246471	SAMN03733848	NA
CP018361	1191445	318	242	11	PRJNA246471	SAMN03733848	NA
CP011573	58710	12	12	0	PRJNA246471	SAMN03733745	NA
CP011653	62460	20	15	5	PRJNA246471	SAMN03733754	NA
CP011654	426080	109	86	10	PRJNA246471	SAMN03733754	NA
CP011655	469125	136	135	1	PRJNA246471	SAMN03733754	NA
CP011656	544945	149	146	3	PRJNA246471	SAMN03733754	NA
CP011659	136695	42	42	0	PRJNA246471	SAMN03733727	NA
CP011660	143745	49	29	7	PRJNA246471	SAMN03733727	NA
CP011661	386630	92	72	8	PRJNA246471	SAMN03733727	NA
CP011570	136695	42	42	0	PRJNA246471	SAMN03733748	NA
CP011571	386630	92	72	8	PRJNA246471	SAMN03733748	NA
CP011579	136695	42	42	0	PRJNA246471	SAMN03733769	NA
CP011580	386630	92	73	8	PRJNA246471	SAMN03733769	NA
CP011586	30420	8	8	0	PRJNA246471	SAMN03733641	NA
CP011587	210235	56	35	19	PRJNA246471	SAMN03733641	NA
CP011588	228315	73	47	23	PRJNA246471	SAMN03733641	NA
CP011589	238080	65	65	0	PRJNA246471	SAMN03733641	NA
CP011590	392895	94	49	30	PRJNA246471	SAMN03733641	NA
CP011648	135735	41	41	0	PRJNA246471	SAMN03733830	NA
CP011649	386630	92	73	8	PRJNA246471	SAMN03733830	NA
CP011582	180435	49	49	0	PRJNA246471	SAMN03733827	NA
CP011583	361955	93	73	8	PRJNA246471	SAMN03733827	NA
CP011598	182580	50	47	3	PRJNA246471	SAMN03733692	NA
CP011599	346240	103	100	3	PRJNA246471	SAMN03733692	NA
CP011600	873740	222	157	7	PRJNA246471	SAMN03733692	NA
CP011601	1211070	311	279	8	PRJNA246471	SAMN03733692	NA
CP013657	617405	165	144	11	PRJNA297860	SAMN04159541	NA
CP016583	147750	40	40	0	PRJNA305824	SAMN04334653	SRR3028762
CP016584	20100	8	8	0	PRJNA305824	SAMN04334653	SRR3028762
CP016585	399600	106	102	2	PRJNA305824	SAMN04334653	SRR3028762
CP016512	147750	40	40	0	PRJNA305824	SAMN04334672	SRR3712208
CP016513	24105	7	7	0	PRJNA305824	SAMN04334672	SRR3712208
AP014566	548055	151	145	3	PRJDA63645	SAMD00002684	DRR000944
