plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)	BioProject	BioSample	Sequence Read Archive
CP023555	736000	208	208	0	PRJNA287968	SAMN04011439	NA
CP023556	297000	63	63	0	PRJNA287968	SAMN04011439	NA
CP023557	35910	12	12	0	PRJNA287968	SAMN04011439	NA
CP023488	983910	241	241	0	PRJNA287968	SAMN04011426	NA
CP023489	534550	150	150	0	PRJNA287968	SAMN04011426	NA
CP016411	1214275	288	288	0	PRJNA292661	SAMN03988471	NA
CP024500	1061045	260	260	0	PRJNA351909	SAMEA3357325	NA
CP024501	837875	233	233	0	PRJNA351909	SAMEA3357325	NA
CP024502	15315	5	5	0	PRJNA351909	SAMEA3357325	NA
CP024503	13985	6	6	0	PRJNA351909	SAMEA3357325	NA
CP024497	837740	233	233	0	PRJNA351909	SAMEA3357328	NA
CP024516	987545	244	244	0	PRJNA351909	SAMEA3357381	NA
CP024517	837740	233	233	0	PRJNA351909	SAMEA3357381	NA
CP024518	15315	5	5	0	PRJNA351909	SAMEA3357381	NA
CP024519	12920	5	5	0	PRJNA351909	SAMEA3357381	NA
CP024507	1286470	322	322	0	PRJNA351909	SAMEA3357405	NA
CP024508	994460	241	241	0	PRJNA351909	SAMEA3357405	NA
CP024509	592655	170	170	0	PRJNA351909	SAMEA3357405	NA
CP024510	427765	119	119	0	PRJNA351909	SAMEA3357405	NA
CP024511	11335	6	6	0	PRJNA351909	SAMEA3357405	NA
CP024513	12365	9	9	0	PRJNA351909	SAMEA3357405	NA
CP024514	11420	7	7	0	PRJNA351909	SAMEA3357405	NA
CP024543	474845	145	145	0	PRJNA351909	SAMEA3357010	NA
CP024544	311400	98	98	0	PRJNA351909	SAMEA3357010	NA
CP024546	475070	145	145	0	PRJNA351909	SAMEA3357043	NA
CP024547	311400	98	98	0	PRJNA351909	SAMEA3357043	NA
CP024529	982015	280	280	0	PRJNA351909	SAMEA3357077	NA
CP024530	638730	180	180	0	PRJNA351909	SAMEA3357077	NA
CP024531	377380	115	115	0	PRJNA351909	SAMEA3357077	NA
CP024532	15180	7	7	0	PRJNA351909	SAMEA3357077	NA
CP024533	12330	8	8	0	PRJNA351909	SAMEA3357077	NA
CP024534	6915	5	5	0	PRJNA351909	SAMEA3357077	NA
CP024522	982015	280	280	0	PRJNA351909	SAMEA3357080	NA
CP024523	638730	180	180	0	PRJNA351909	SAMEA3357080	NA
CP024524	377380	115	115	0	PRJNA351909	SAMEA3357080	NA
CP024525	14970	7	7	0	PRJNA351909	SAMEA3357080	NA
CP024526	12120	8	8	0	PRJNA351909	SAMEA3357080	NA
CP024527	8355	6	6	0	PRJNA351909	SAMEA3357080	NA
CP023542	715900	183	183	0	PRJNA230969	SAMN02147037	NA
CP011395	234425	74	74	0	PRJNA41929	SAMN01041085	NA
CP020902	1415520	377	377	0	PRJNA378711	SAMN04158282	NA
CP020903	881380	240	240	0	PRJNA378711	SAMN04158282	NA
CP020904	518365	149	149	0	PRJNA378711	SAMN04158282	NA
CP020905	172410	52	52	0	PRJNA378711	SAMN04158282	NA
CP014050	398170	118	118	0	PRJNA231221	SAMN03996249	NA
CP014747	362750	83	83	0	PRJNA231221	SAMN03996283	NA
CP014068	342695	93	93	0	PRJNA231221	SAMN03996308	NA
CP015847	422940	108	108	0	PRJNA322195	SAMN04191551	NA
CP022728	148330	45	45	0	PRJNA322195	SAMN04191551	NA
CP016407	1239750	295	295	0	PRJNA292666	SAMN04285042	NA
CP011613	14580	6	6	0	PRJNA246471	SAMN03733750	NA
CP011614	378550	111	111	0	PRJNA246471	SAMN03733750	NA
CP011615	489070	113	113	0	PRJNA246471	SAMN03733750	NA
CP011616	506520	135	135	0	PRJNA246471	SAMN03733750	NA
CP011617	443135	119	119	0	PRJNA246471	SAMN03733750	NA
CP011592	14580	6	6	0	PRJNA246471	SAMN03733663	NA
CP011593	286795	87	87	0	PRJNA246471	SAMN03733663	NA
CP011594	463800	127	127	0	PRJNA246471	SAMN03733663	NA
CP011595	489070	113	113	0	PRJNA246471	SAMN03733663	NA
CP011596	437825	118	118	0	PRJNA246471	SAMN03733663	NA
CP011627	54420	15	15	0	PRJNA246471	SAMN03733738	NA
CP011628	61935	19	19	0	PRJNA246471	SAMN03733738	NA
CP011629	134745	40	40	0	PRJNA246471	SAMN03733738	NA
CP011630	198455	54	54	0	PRJNA246471	SAMN03733738	NA
CP011631	241140	57	57	0	PRJNA246471	SAMN03733738	NA
CP011632	357490	102	102	0	PRJNA246471	SAMN03733738	NA
CP011633	614770	169	169	0	PRJNA246471	SAMN03733738	NA
CP011634	939405	242	242	0	PRJNA246471	SAMN03733738	NA
CP011635	1389840	344	344	0	PRJNA246471	SAMN03733738	NA
CP011606	12765	5	5	0	PRJNA246471	SAMN03733741	NA
CP011607	12465	5	5	0	PRJNA246471	SAMN03733741	NA
CP011608	188340	53	53	0	PRJNA246471	SAMN03733741	NA
CP011609	293740	86	86	0	PRJNA246471	SAMN03733741	NA
CP011610	579805	143	143	0	PRJNA246471	SAMN03733741	NA
CP011611	998625	290	290	0	PRJNA246471	SAMN03733741	NA
CP013323	1040345	278	278	0	PRJNA246471	SAMN03733725	NA
CP013324	734115	196	196	0	PRJNA246471	SAMN03733725	NA
CP013325	205995	53	53	0	PRJNA246471	SAMN03733725	NA
CP013326	308610	88	88	0	PRJNA246471	SAMN03733725	NA
CP018348	37050	13	13	0	PRJNA246471	SAMN03733765	NA
CP018349	187515	59	59	0	PRJNA246471	SAMN03733765	NA
CP018350	273785	74	74	0	PRJNA246471	SAMN03733765	NA
CP018351	796255	236	236	0	PRJNA246471	SAMN03733765	NA
CP018353	57315	18	18	0	PRJNA246471	SAMN03733793	NA
CP018354	189450	57	57	0	PRJNA246471	SAMN03733793	NA
CP018355	903125	247	247	0	PRJNA246471	SAMN03733793	NA
CP018357	13985	6	6	0	PRJNA246471	SAMN03733848	NA
CP018358	11830	7	7	0	PRJNA246471	SAMN03733848	NA
CP018359	13590	7	7	0	PRJNA246471	SAMN03733848	NA
CP018360	494320	118	118	0	PRJNA246471	SAMN03733848	NA
CP018361	1191445	318	318	0	PRJNA246471	SAMN03733848	NA
CP011573	58710	12	12	0	PRJNA246471	SAMN03733745	NA
CP011653	62460	20	20	0	PRJNA246471	SAMN03733754	NA
CP011654	426080	109	109	0	PRJNA246471	SAMN03733754	NA
CP011655	469125	136	136	0	PRJNA246471	SAMN03733754	NA
CP011656	544945	149	149	0	PRJNA246471	SAMN03733754	NA
CP011659	136695	42	42	0	PRJNA246471	SAMN03733727	NA
CP011660	143745	49	49	0	PRJNA246471	SAMN03733727	NA
CP011661	386630	92	92	0	PRJNA246471	SAMN03733727	NA
CP011570	136695	42	42	0	PRJNA246471	SAMN03733748	NA
CP011571	386630	92	92	0	PRJNA246471	SAMN03733748	NA
CP011579	136695	42	42	0	PRJNA246471	SAMN03733769	NA
CP011580	386630	92	92	0	PRJNA246471	SAMN03733769	NA
CP011586	30420	8	8	0	PRJNA246471	SAMN03733641	NA
CP011587	210235	56	56	0	PRJNA246471	SAMN03733641	NA
CP011588	228315	73	73	0	PRJNA246471	SAMN03733641	NA
CP011589	238080	65	65	0	PRJNA246471	SAMN03733641	NA
CP011590	392895	94	94	0	PRJNA246471	SAMN03733641	NA
CP011648	135735	41	41	0	PRJNA246471	SAMN03733830	NA
CP011649	386630	92	92	0	PRJNA246471	SAMN03733830	NA
CP011582	180435	49	49	0	PRJNA246471	SAMN03733827	NA
CP011583	361955	93	93	0	PRJNA246471	SAMN03733827	NA
CP011598	182580	50	50	0	PRJNA246471	SAMN03733692	NA
CP011599	346240	103	103	0	PRJNA246471	SAMN03733692	NA
CP011600	873740	222	222	0	PRJNA246471	SAMN03733692	NA
CP011601	1211070	311	311	0	PRJNA246471	SAMN03733692	NA
CP013657	617405	165	165	0	PRJNA297860	SAMN04159541	NA
CP016583	147750	40	40	0	PRJNA305824	SAMN04334653	SRR3028762
CP016584	20100	8	8	0	PRJNA305824	SAMN04334653	SRR3028762
CP016585	399600	106	106	0	PRJNA305824	SAMN04334653	SRR3028762
CP016512	147750	40	40	0	PRJNA305824	SAMN04334672	SRR3712208
CP016513	24105	7	7	0	PRJNA305824	SAMN04334672	SRR3712208
AP014566	548055	151	151	0	PRJDA63645	SAMD00002684	DRR000944
