plasmid_ID	length_(bp)	#5-mers	#plasmid_5-mers	largest_non-plasmid_island_(#5-mers)
CP024547	348628	98	98	0
CP024529	1082827	280	280	0
CP024530	719474	180	180	0
CP024531	432856	115	115	0
CP024532	21676	7	7	0
CP024533	20506	8	8	0
CP024534	12858	5	5	0
CP024522	1082827	280	280	0
CP024523	719474	180	180	0
CP024524	432856	115	115	0
CP024525	21634	7	7	0
CP024526	20464	8	8	0
CP024527	16971	6	6	0
CP023542	788988	183	183	0
CP011395	284229	74	74	0
CP020902	1637152	377	377	0
CP020903	977736	240	240	0
CP020904	585805	149	149	0
CP020905	198926	52	52	0
CP014050	455366	118	118	0
CP014747	400578	83	83	0
CP014068	421043	93	93	0
CP015847	466984	108	108	0
CP022728	168422	45	45	0
CP016407	1540438	295	295	0
CP011613	24556	6	6	0
CP011614	444090	111	111	0
CP011615	550234	113	113	0
CP011616	571796	135	135	0
CP011617	549903	119	119	0
CP011592	24556	6	6	0
CP011593	332999	87	87	0
CP011594	538340	127	127	0
CP011595	550234	113	113	0
CP011596	543533	118	118	0
CP011627	67980	15	15	0
CP011628	76663	19	19	0
CP011629	161389	40	40	0
CP011630	236491	54	54	0
CP011631	262612	57	57	0
CP011632	406106	102	102	0
CP011633	724226	169	169	0
CP011634	1098601	242	242	0
CP011635	1609792	344	344	0
CP011606	15483	5	5	0
CP011607	17307	5	5	0
CP011608	217052	53	53	0
CP011609	341188	86	86	0
CP011610	656429	143	143	0
CP011611	1174561	290	290	0
CP013323	1239845	278	278	0
CP013324	812767	196	196	0
CP013325	239459	53	53	0
CP013326	372954	88	88	0
CP018348	44586	13	13	0
CP018349	211431	59	59	0
CP018350	322437	74	74	0
CP018351	899011	236	236	0
CP018353	66827	18	18	0
CP018354	220858	57	57	0
CP018355	1010797	247	247	0
CP018357	18201	6	6	0
CP018358	19862	7	7	0
CP018359	24802	7	7	0
CP018360	542932	118	118	0
CP018361	1348753	318	318	0
CP011573	67666	12	12	0
CP011653	77520	20	20	0
CP011654	488708	109	109	0
CP011655	532577	136	136	0
CP011656	625773	149	149	0
CP011659	161779	42	42	0
CP011660	177937	49	49	0
CP011661	439134	92	92	0
CP011570	161779	42	42	0
CP011571	439134	92	92	0
CP011579	161779	42	42	0
CP011580	439134	92	92	0
CP011586	47696	8	8	0
CP011587	247331	56	56	0
CP011588	279371	73	73	0
CP011589	284168	65	65	0
CP011590	465947	94	94	0
CP011648	161587	41	41	0
CP011649	439134	92	92	0
CP011582	209819	49	49	0
CP011583	413139	93	93	0
CP011598	211000	50	50	0
CP011599	401192	103	103	0
CP011600	1035116	222	222	0
CP011601	1424690	311	311	0
CP013657	698473	165	165	0
CP016583	180338	40	40	0
CP016584	30608	8	8	0
CP016585	477812	106	106	0
CP016512	180338	40	40	0
CP016513	31409	7	7	0
AP014566	640055	151	151	0
